,id_list,songname,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,clean_songname,clean_artist
867,1n7omixiROWs5q6xpWiQuL,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,Benny Benassi,0.793,0.698,11,-3.626,1,0.104,0.163,0.145,0.0745,0.339,130.017,satisfaction(isakoriginalextended)-bennybenassipresentsthebiz,bennybenassi
868,0qnqsfFYgBo0sPHM2JmfTq,"Right Here, Right Now",Fatboy Slim,0.56,0.859,4,-8.037,0,0.141,0.0136,0.521,0.672,0.114,124.663,"righthere,rightnow",fatboyslim
869,72SpPFrMYCXLB3Fbw9tEgf,Heaven,DJ Sammy,0.571,0.953,8,-5.601,1,0.0548,0.0011,0.000606,0.226,0.601,137.965,heaven,djsammy
870,74BmnSR6ECVZdXnl0cPY7a,Children - Radio Edit,Robert Miles,0.61,0.824,0,-7.81,1,0.0339,0.000352,0.78,0.0648,0.466,137.056,children-radioedit,robertmiles
871,3e9L9HiHKcfYLAga28Vmcf,Something,Lasgo,0.643,0.981,7,-6.644,0,0.0439,0.0271,8.93e-05,0.11,0.38,140.01,something,lasgo
872,5WXY1AXw9bApu3kDL2aWuK,Love Don't Let Me Go (Walking Away),David Guetta,0.661,0.727,5,-8.322,0,0.0315,0.0135,1.6e-06,0.371,0.584,127.013,lovedon'tletmego(walkingaway),davidguetta
873,7BwwjDFcpn72BrxCCRqs7d,Pump Up The Jam - Edit,Technotronic,0.867,0.911,10,-7.375,0,0.115,0.0239,0.0,0.0491,0.675,124.81,pumpupthejam-edit,technotronic
874,1arJHhz6TxMV50SNvSmGnV,Ecuador - Original Radio Edit,Sash!,0.591,0.888,4,-6.836,1,0.0354,0.00223,0.699,0.396,0.588,132.885,ecuador-originalradioedit,sash!
875,7BWDhjtY5weHX6SXuaqJVE,Stupidisco - Radio Edit,Junior Jack,0.709,0.987,1,-4.327,1,0.0527,0.0176,0.444,0.719,0.712,125.027,stupidisco-radioedit,juniorjack
876,3pPyW9Tw16SPFIttCOxYV5,Discòs Revenge - Short Dirty Mix,Gusto,0.811,0.942,8,-6.72,0,0.0585,0.0226,0.882,0.0647,0.953,125.962,discòsrevenge-shortdirtymix,gusto
877,4Xt96I1hZcv1GUf78PCifP,It Just Won't Do,Tim Deluxe,0.684,0.881,5,-7.613,0,0.0412,0.0225,0.597,0.379,0.856,130.003,itjustwon'tdo,timdeluxe
878,25Kghjd8MUSlZF9U5U0iZz,Same Man - Original Mix,Till West,0.787,0.932,1,-6.285,1,0.0585,7.2e-05,0.897,0.0358,0.656,125.59,sameman-originalmix,tillwest
879,2djV80oTHpMQbAFIAvUQT3,Mary Go Wild (Original),Grooveyard,0.541,0.93,10,-8.25,0,0.0329,0.000432,0.95,0.0457,0.428,133.141,marygowild(original),grooveyard
880,5EMwg8P4A3Qj7BPtau1Mn0,Lucky Star,Superfunk,0.776,0.682,6,-7.426,1,0.0738,0.0516,0.000237,0.234,0.901,125.857,luckystar,superfunk
881,4RADreHMvMkZwsPgPr9z5c,"Rhythm Is A Dancer - 7"" Edit",SNAP!,0.794,0.745,9,-11.367,0,0.037,0.273,0.000414,0.143,0.706,124.249,"rhythmisadancer-7""edit",snap!
882,5luWJxS799LLp2e88RffUx,Starlight,The Supermen Lovers,0.706,0.661,0,-5.126,1,0.034,0.000411,0.0514,0.139,0.642,127.48,starlight,thesupermenlovers
883,2OoSyZuxqXQllJ0htz6tcU,Carnaval de Paris - Radio Mix,Dario G,0.548,0.978,0,-6.178,1,0.0722,0.00886,0.873,0.179,0.466,134.993,carnavaldeparis-radiomix,dariog
884,6oMwcsSiAv8VtmK65fKfFk,Why Tell Me Why - Radio Mix,Guilliano,0.57,0.852,1,-4.967,0,0.0867,0.001,0.00389,0.112,0.451,128.062,whytellmewhy-radiomix,guilliano
885,1AYe8qqoWnUZPWvH4IywaS,Don't You Want Me 2015 - Classic Radio Edit,Felix,0.6,0.817,7,-3.646,1,0.0314,0.000113,0.732,0.0784,0.518,127.984,don'tyouwantme2015-classicradioedit,felix
886,53qhh1kdcX4gRBShoW4LK8,Sing It Back - Boris Dlugosch Mix,Moloko,0.761,0.775,3,-7.495,0,0.0339,0.00698,0.000543,0.0512,0.966,123.017,singitback-borisdlugoschmix,moloko
887,47vWNOJPohVQXWSuDE3k63,Shined On Me - Radio Edit,Praise Cats,0.799,0.86,1,-8.137,1,0.035,0.0718,0.193,0.628,0.943,131.958,shinedonme-radioedit,praisecats
888,5ZIwhaTKGjxXMfvKO9EVXU,Ich bin wie du,Marianne Rosenberg,0.481,0.744,0,-9.518,1,0.0776,0.00931,0.0,0.0521,0.6,129.067,ichbinwiedu,mariannerosenberg
889,3X3D6oIhO8QsNxJibHSMRc,Think About You,Room 5,0.641,0.945,1,-6.593,0,0.0762,2.59e-05,0.151,0.36,0.229,126.071,thinkaboutyou,room5
890,3h3zELZYX9dwocUGaW1JiW,Make Love,Joe Stone,0.767,0.873,8,-3.798,1,0.103,0.171,3.58e-05,0.808,0.796,123.928,makelove,joestone
